ID,time,SID,lat,lon,SQRT_SEA_DEM_LAT,WSPD,WDIR,TMP,TX,TN,TP,RH,PRES2M,pm25
86,1/8/2020,163,21.0243474,106.0172877,4.988467,3.514937878,140.0926819,23.45749092,28.51998329,20.26998329,0.4375,74.57500458,101476.3125,39.61774583
87,1/8/2020,195,21.33847,105.3673,5.228505,2.710354805,117.9514618,23.49024391,28.47200394,20.40499687,0.4,74.08625793,100859.5781,16.0437375
88,1/8/2020,300,21.023532,105.853941,4.8650875,3.774960995,144.0256348,23.59124184,27.73998451,20.6199894,0.6875,74.9375,101429.5156,39.58333333
89,1/9/2020,19,21.04975,105.74187,5.922647,3.391490459,155.2012634,23.7199955,28.26998329,20.42000771,0.25,73.625,101289.8047,50.71708333
90,1/9/2020,51,21.2003445,105.9485439,6.696101,3.018270254,152.2038879,23.20499229,27.29998207,20.37999916,0.25,73.875,101297,56.41883077
91,1/9/2020,52,21.1232473,106.2883295,5.527568,3.155851364,148.7730103,23.03998947,27.71499062,20.02999306,0.25,74.84375,101310.7969,59.23463333
92,1/9/2020,53,21.1527453,106.111371,5.5352697,3.008676767,151.8837585,23.1757412,27.29698181,20.35399818,0.24375,73.88500214,101291.5,50.43067692
93,1/9/2020,62,21.1518069,106.1518796,5.995299,2.92233634,149.0026245,22.91248894,27.26998329,20.1199894,0.1875,73.9750061,101242,55.4534
94,1/9/2020,66,21.1638526,105.9235646,6.0008135,3.018270254,152.2038879,23.20499229,27.29998207,20.37999916,0.25,73.875,101297,33.43856154
95,1/9/2020,71,21.0272212,106.0342099,4.7475653,3.114005089,156.4088135,23.45749474,28.51000404,20.1199894,0.3125,74.98750305,101337.6016,52.690475
96,1/9/2020,79,21.01525,105.80013,4.3072305,3.391490459,155.2012634,23.7199955,28.26998329,20.42000771,0.25,73.625,101289.8047,45.28791667
97,1/9/2020,156,21.127574,105.9508299,5.7695165,3.066137791,154.3063507,23.33124352,27.90499306,20.24999428,0.28125,74.43125153,101317.2969,55.66482308
98,1/9/2020,159,21.0377269,106.1468067,5.693217,3.38936615,148.543396,23.16749001,28.15999794,19.93999672,0.3125,75.71250153,101379.6016,75.04371667
99,1/9/2020,160,21.0353984,106.1025755,5.765338,3.114005089,156.4088135,23.45749474,28.51000404,20.1199894,0.3125,74.98750305,101337.6016,41.0349
100,1/9/2020,195,21.33847,105.3673,5.228505,1.743574023,105.59198,23.17962074,28.13599014,19.37799072,0.00625,74.62625122,100734.0625,20.65899583
101,1/9/2020,300,21.023532,105.853941,4.8650875,3.391490459,155.2012634,23.7199955,28.26998329,20.42000771,0.25,73.625,101289.8047,40.95238095
102,1/10/2020,19,21.04975,105.74187,5.922647,4.390537739,162.725769,23.61124229,27.45000648,20.60997963,0,73.9375,101153.8047,48.65125
103,1/10/2020,79,21.01525,105.80013,4.3072305,4.390537739,162.725769,23.61124229,27.45000648,20.60997963,0,73.9375,101153.8047,39.59083333
104,1/10/2020,160,21.0353984,106.1025755,5.765338,3.590199232,167.4928284,23.1349926,26.35997963,20.45000648,0.125,78.08750153,101205,30.07807917
105,1/10/2020,195,21.33847,105.3673,5.228505,1.873608589,123.2343597,23.06449318,27.92498589,19.706007,0,74.24375153,100584.1797,15.49507083
